brand,view_users,cart_users,purchase_users,purchase_events,revenue,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate
razer,2919,30,14,100,9793.869999999999,0.010277492291880781,0.4666666666666667,0.004796163069544364
sportop,395,0,0,8,9781.44,0.0,,0.0
rebus,3667,7,2,54,9775.67,0.0019089173711480775,0.2857142857142857,0.000545404963185165
plantronics,5779,243,107,241,9724.51,0.04204879736978716,0.4403292181069959,0.018515314068177885
laston,5813,0,0,74,9446.13,0.0,,0.0
tomahawk,5695,0,0,93,9383.8,0.0,,0.0
playme,4674,59,22,61,9379.05,0.012623020967051776,0.3728813559322034,0.004706889174154899
adidas,13700,0,0,149,9305.58,0.0,,0.0
kettler,840,0,0,11,9260.960000000001,0.0,,0.0
mercedes,1056,0,0,40,9257.67,0.0,,0.0
volta,2675,20,8,197,9236.6,0.007476635514018692,0.4,0.0029906542056074765
domini,5497,0,0,79,9212.83,0.0,,0.0
stagg,2692,0,0,80,9185.5,0.0,,0.0
sailun,3307,0,0,121,9085.73,0.0,,0.0
burgerschuhe,10356,0,0,90,9072.74,0.0,,0.0
kormoran,4355,16,7,143,8912.26,0.0036739380022962113,0.4375,0.0016073478760045925
xerox,2070,1,0,66,8896.78,0.0004830917874396135,0.0,0.0
beats,2449,29,10,38,8655.41,0.011841567986933442,0.3448275862068966,0.004083299305839118
wagner,821,0,0,23,8643.49,0.0,,0.0
fossil,2959,0,0,49,8613.76,0.0,,0.0
irbis,9574,26,11,102,8514.88,0.0027156883225402132,0.4230769230769231,0.001148945059536244
shure,1849,0,0,34,8456.0,0.0,,0.0
bertoni,4129,16,10,126,8436.36,0.003875030273674013,0.625,0.002421893921046258
nakamichi,4279,13,7,109,8417.49,0.0030380930123860717,0.5384615384615384,0.001635896237438654
toway,317,0,0,32,8385.28,0.0,,0.0
cenmax,4342,112,51,120,8347.0,0.025794564716720404,0.45535714285714285,0.01174573929064947
matrix,14545,4,1,149,8334.43,0.0002750085940185631,0.25,6.875214850464078e-05
klima,1464,33,14,69,8311.96,0.022540983606557378,0.42424242424242425,0.009562841530054645
habilead,4912,0,0,145,8304.83,0.0,,0.0
avatar,2795,0,0,91,8293.619999999999,0.0,,0.0
alcasta,3191,0,0,37,8244.21,0.0,,0.0
artmusical,6836,0,0,59,8213.68,0.0,,0.0
total,9571,269,85,218,8050.83,0.028105736077734825,0.3159851301115242,0.008880994671403197
hitachi,2621,7,4,15,7990.56,0.002670736360167875,0.5714285714285714,0.0015261350629530714
seagate,2760,40,22,110,7813.11,0.014492753623188406,0.55,0.007971014492753623
givenchy,3171,8,5,83,7808.22,0.002522863450015768,0.625,0.001576789656259855
korg,673,2,0,8,7787.32,0.0029717682020802376,0.0,0.0
torrent,4969,56,11,82,7777.95,0.011269873213926343,0.19642857142857142,0.0022137250955926746
jordan,14528,0,0,52,7714.900000000001,0.0,,0.0
roingto,223,0,0,31,7654.740000000001,0.0,,0.0
dsland,689,0,0,13,7584.21,0.0,,0.0
rant,3511,68,26,89,7578.47,0.01936770150954144,0.38235294117647056,0.00740529763600114
takamine,824,1,0,6,7563.99,0.0012135922330097086,0.0,0.0
ecocool,1780,45,23,74,7558.4800000000005,0.025280898876404494,0.5111111111111111,0.012921348314606741
boccia,3663,0,0,63,7552.89,0.0,,0.0
domyos,1074,64,30,45,7537.33,0.0595903165735568,0.46875,0.027932960893854747
kitchenaid,3809,6,1,11,7454.87,0.0015752165922814387,0.16666666666666666,0.00026253609871357313
infinity,2771,0,0,72,7443.92,0.0,,0.0
redbo,1384,0,0,17,7409.36,0.0,,0.0
vega,20178,0,0,292,7405.35,0.0,,0.0
stanley,11624,48,18,158,7300.62,0.0041293874741913286,0.375,0.0015485203028217482
ersport,1926,0,0,63,7247.94,0.0,,0.0
centurion,3249,17,10,81,7231.8099999999995,0.0052323791935980305,0.5882352941176471,0.0030778701138811943
p.i.t.,4427,0,0,91,7220.61,0.0,,0.0
eltreco,1351,0,0,11,7220.29,0.0,,0.0
gigawatt,1845,51,18,81,7185.79,0.027642276422764227,0.35294117647058826,0.00975609756097561
tech-line,1413,0,0,27,7176.59,0.0,,0.0
edox,555,0,0,9,7157.46,0.0,,0.0
willmark,8130,52,18,339,7143.04,0.0063960639606396065,0.34615384615384615,0.002214022140221402
puma,10718,0,0,75,7142.37,0.0,,0.0
helvetia,2022,0,0,6,7132.080000000001,0.0,,0.0
marcomen,6896,0,0,85,7091.79,0.0,,0.0
fila,7690,0,0,67,7030.45,0.0,,0.0
tomfarr,9838,0,0,45,7022.55,0.0,,0.0
llorens,5407,76,19,160,6984.98,0.014055853523210654,0.25,0.0035139633808026634
steelseries,2517,54,24,99,6871.51,0.021454112038140644,0.4444444444444444,0.009535160905840286
romanson,2621,0,0,53,6868.75,0.0,,0.0
fisher,1446,0,0,24,6860.67,0.0,,0.0
medeli,666,0,0,14,6836.72,0.0,,0.0
tacx,763,5,5,22,6815.64,0.00655307994757536,1.0,0.00655307994757536
renova,1426,0,0,84,6771.43,0.0,,0.0
zlatek,3993,112,38,135,6763.42,0.02804908590032557,0.3392857142857143,0.009516654144753318
rush,1762,0,0,39,6754.09,0.0,,0.0
edufun,4181,82,32,60,6739.650000000001,0.01961253288686917,0.3902439024390244,0.00765367137048553
erkaplan,2537,0,0,26,6712.43,0.0,,0.0
squier,1176,1,0,27,6685.63,0.0008503401360544217,0.0,0.0
toyota,3922,6,4,64,6627.849999999999,0.0015298317185109638,0.6666666666666666,0.0010198878123406426
nitto,2267,4,2,84,6585.86,0.00176444640494045,0.5,0.000882223202470225
shimano,3175,0,0,39,6559.179999999999,0.0,,0.0
alutec,1698,0,0,10,6550.55,0.0,,0.0
selby,3182,99,41,160,6523.62,0.031112507856693904,0.41414141414141414,0.012884978001257071
lacoste,2686,60,32,122,6497.59,0.022338049143708117,0.5333333333333333,0.011913626209977662
carver,2097,0,0,37,6461.2300000000005,0.0,,0.0
xgimi,346,11,5,7,6428.41,0.031791907514450865,0.45454545454545453,0.014450867052023121
bestway,8615,21,7,113,6406.22,0.0024376088218224026,0.3333333333333333,0.0008125362739408009
greta,2408,15,10,41,6353.12,0.006229235880398671,0.6666666666666666,0.004152823920265781
aqua,4640,180,86,187,6336.63,0.03879310344827586,0.4777777777777778,0.01853448275862069
x-game,8999,105,36,211,6318.45,0.01166796310701189,0.34285714285714286,0.004000444493832648
turbo,3931,107,54,105,6285.8099999999995,0.027219537013482575,0.5046728971962616,0.013736962604935132
defender,12561,159,62,559,6284.41,0.012658227848101266,0.389937106918239,0.004935912745800493
farroad,3358,3,2,101,6273.01,0.0008933889219773674,0.6666666666666666,0.0005955926146515784
winca,2078,0,0,16,6262.7,0.0,,0.0
ritmix,23849,150,49,365,6262.28,0.0062895718898067,0.32666666666666666,0.002054593484003522
olmio,5118,3,1,153,6260.9400000000005,0.0005861664712778429,0.3333333333333333,0.00019538882375928098
longway,1491,0,0,64,6209.54,0.0,,0.0
peterhof,2005,0,0,91,6201.89,0.0,,0.0
trust,6450,74,22,120,6199.02,0.011472868217054264,0.2972972972972973,0.0034108527131782944
peavey,1877,0,0,14,6191.13,0.0,,0.0
kukmara,4819,105,60,163,6180.7699999999995,0.021788752853289062,0.5714285714285714,0.01245071591616518
triton,2131,0,0,23,6163.4,0.0,,0.0
komfort-s,4931,0,0,30,6157.2300000000005,0.0,,0.0
tutis,978,0,0,16,6134.06,0.0,,0.0
jade,2467,0,0,16,6109.89,0.0,,0.0
cube,989,2,1,9,6082.8,0.0020222446916076846,0.5,0.0010111223458038423
roncato,3405,0,0,29,6064.24,0.0,,0.0
shua,695,0,0,3,6016.0599999999995,0.0,,0.0
kingsong,490,0,0,3,5976.99,0.0,,0.0
onlitop,4721,0,0,38,5924.1,0.0,,0.0
guerlain,1455,0,0,60,5877.72,0.0,,0.0
berghoff,7056,101,36,73,5866.37,0.0143140589569161,0.3564356435643564,0.00510204081632653
pdw,910,0,0,15,5819.96,0.0,,0.0
lorelli-bertoni,2367,8,2,80,5802.0,0.0033798056611744824,0.25,0.0008449514152936206
petek,3949,0,0,83,5767.36,0.0,,0.0
domani-spa,1301,0,0,29,5761.099999999999,0.0,,0.0
diesel,1510,0,0,22,5708.27,0.0,,0.0
casper,3054,0,0,51,5601.66,0.0,,0.0
inspector,1377,15,6,28,5568.41,0.010893246187363835,0.4,0.004357298474945534
oursson,1957,0,0,53,5548.72,0.0,,0.0
romana,2303,0,0,33,5482.25,0.0,,0.0
cannondale,569,0,0,4,5481.72,0.0,,0.0
remain,1592,0,0,24,5481.71,0.0,,0.0
gamemax,1368,19,8,33,5475.05,0.013888888888888888,0.42105263157894735,0.005847953216374269
otan,1312,0,0,9,5469.88,0.0,,0.0
trinx,1251,0,0,29,5459.63,0.0,,0.0
bambola,3694,17,11,115,5455.97,0.0046020573903627505,0.6470588235294118,0.002977801840822956
powercolor,1048,0,0,26,5413.19,0.0,,0.0
ovation,2615,0,0,82,5411.56,0.0,,0.0
nasomatto,983,0,0,29,5406.17,0.0,,0.0
krups,496,8,4,10,5397.53,0.016129032258064516,0.5,0.008064516129032258
gainward,617,0,0,11,5390.7699999999995,0.0,,0.0
htc,2561,27,10,45,5386.96,0.010542756735650137,0.37037037037037035,0.003904724716907458
tamaris,5353,0,0,73,5367.6,0.0,,0.0
huggies,4664,0,0,400,5269.86,0.0,,0.0
anytek,4248,0,0,62,5194.68,0.0,,0.0
jura,2015,4,1,4,5191.68,0.0019851116625310174,0.25,0.0004962779156327543
mutant,2893,0,0,123,5120.54,0.0,,0.0
galanz,1621,0,0,75,5107.45,0.0,,0.0
hoover,1934,62,33,52,5066.63,0.03205791106514995,0.532258064516129,0.017063081695966906
schecter,120,0,0,12,5043.28,0.0,,0.0
bauer,1776,0,0,71,4982.16,0.0,,0.0
seiko,1393,0,0,7,4903.85,0.0,,0.0
geil,3250,25,6,118,4875.65,0.007692307692307693,0.24,0.0018461538461538461
kaiser,1117,0,0,21,4847.83,0.0,,0.0
garanterm,905,8,0,51,4820.48,0.008839779005524863,0.0,0.0
maxtrek,3688,0,0,70,4796.55,0.0,,0.0
erdenet,1045,0,0,19,4792.9400000000005,0.0,,0.0
danke,725,0,0,13,4786.2,0.0,,0.0
riviera,834,0,0,10,4782.81,0.0,,0.0
xing,1294,0,0,26,4757.58,0.0,,0.0
mirage,1970,6,3,78,4744.99,0.003045685279187817,0.5,0.0015228426395939086
montblanc,1716,1,0,98,4737.68,0.0005827505827505828,0.0,0.0
jkexer,482,0,0,5,4701.12,0.0,,0.0
samson,525,0,0,5,4697.7,0.0,,0.0
riko,426,0,0,14,4663.84,0.0,,0.0
maunfeld,1735,0,0,37,4651.3,0.0,,0.0
qiangchi,657,0,0,32,4624.56,0.0,,0.0
elikor,1683,1,1,53,4616.75,0.0005941770647653001,1.0,0.0005941770647653001
liebherr,293,0,0,4,4614.26,0.0,,0.0
svc,2483,53,21,109,4561.63,0.02134514699959726,0.39622641509433965,0.008457511075312122
manfrotto,866,14,10,26,4533.38,0.016166281755196306,0.7142857142857143,0.011547344110854504
aero,1937,0,0,16,4525.21,0.0,,0.0
escan,7456,0,0,95,4445.5199999999995,0.0,,0.0
divalux,631,0,0,6,4375.9,0.0,,0.0
deta,770,0,0,33,4350.83,0.0,,0.0
kolibri,1772,0,0,10,4324.19,0.0,,0.0
jet,5012,157,57,135,4320.95,0.03132482043096568,0.3630573248407643,0.01137270550678372
jetpik,1230,22,10,26,4303.04,0.01788617886178862,0.45454545454545453,0.008130081300813009
kolner,9933,2,1,114,4283.0,0.00020134903855834087,0.5,0.00010067451927917044
pedrollo,1009,0,0,5,4257.3099999999995,0.0,,0.0
turboair,2895,106,42,88,4249.22,0.036614853195164075,0.39622641509433965,0.014507772020725389
fli,993,0,0,30,4247.099999999999,0.0,,0.0
merelani,9502,0,0,50,4246.7300000000005,0.0,,0.0
minelab,446,0,0,4,4195.73,0.0,,0.0
akai,1019,0,0,36,4184.71,0.0,,0.0
nuna,594,5,3,18,4146.31,0.008417508417508417,0.6,0.005050505050505051
caramelia,7382,75,27,121,4141.49,0.010159848279599025,0.36,0.003657545380655649
startul,7054,0,0,60,4132.349999999999,0.0,,0.0
acme,6998,5,1,84,4111.93,0.0007144898542440697,0.2,0.00014289797084881395
lemark,1130,3,2,27,4097.63,0.002654867256637168,0.6666666666666666,0.0017699115044247787
elna,887,14,8,14,4097.3,0.015783540022547914,0.5714285714285714,0.009019165727170236
thrustmaster,1066,6,3,12,4054.81,0.005628517823639775,0.5,0.0028142589118198874
bugaboo,260,0,0,6,4048.68,0.0,,0.0
shagovita,7358,0,0,68,4040.27,0.0,,0.0
noktamakro,416,0,0,12,4022.24,0.0,,0.0
sjcam,2148,46,12,36,4021.3500000000004,0.021415270018621976,0.2608695652173913,0.00558659217877095
shogun,400,0,0,6,4015.56,0.0,,0.0
viewsonic,761,11,4,10,4002.42,0.01445466491458607,0.36363636363636365,0.005256241787122208
deepcool,3608,37,15,155,3990.86,0.0102549889135255,0.40540540540540543,0.0041574279379157425
ray-ban,1085,0,0,19,3964.9,0.0,,0.0
author,706,4,3,16,3959.95,0.0056657223796034,0.75,0.00424929178470255
thermaltake,2972,13,3,52,3958.9,0.004374158815612382,0.23076923076923078,0.001009421265141319
intego,2514,0,0,28,3929.73,0.0,,0.0
bsn,1548,0,0,82,3910.23,0.0,,0.0
moon,639,0,0,8,3907.43,0.0,,0.0
keter,1055,7,5,28,3904.98,0.006635071090047393,0.7142857142857143,0.004739336492890996
jinga,4560,133,44,127,3895.28,0.029166666666666667,0.3308270676691729,0.009649122807017544
aeg,2292,3,1,88,3891.7699999999995,0.0013089005235602095,0.3333333333333333,0.0004363001745200698
optoma,528,5,0,7,3875.6000000000004,0.00946969696969697,0.0,0.0
ilife,1026,0,0,15,3871.81,0.0,,0.0
adata,1819,61,21,76,3870.63,0.033534909290819134,0.3442622950819672,0.01154480483782298
gamma,1765,0,0,85,3851.55,0.0,,0.0
jonnesway,4229,0,0,14,3850.8,0.0,,0.0
asics,8302,0,0,54,3818.8199999999997,0.0,,0.0
flight,2205,0,0,57,3767.48,0.0,,0.0
boneco,867,0,0,21,3749.9,0.0,,0.0
amazon,2014,0,0,25,3713.35,0.0,,0.0
nz,971,0,0,17,3695.82,0.0,,0.0
fenix,1291,0,0,21,3685.54,0.0,,0.0
redford,1211,0,0,19,3674.95,0.0,,0.0
kenzo,1728,0,0,57,3671.61,0.0,,0.0
zeppelin,1236,0,0,34,3656.19,0.0,,0.0
crucial,1919,4,0,63,3621.25,0.0020844189682126106,0.0,0.0
blackvue,980,5,2,9,3600.81,0.00510204081632653,0.4,0.0020408163265306124
hoco,7477,195,75,204,3587.62,0.026079978601043198,0.38461538461538464,0.01003076100040123
byintek,1352,3,0,24,3584.13,0.0022189349112426036,0.0,0.0
sunwide,1358,2,0,62,3549.08,0.0014727540500736377,0.0,0.0
usams,4744,1,0,73,3532.79,0.00021079258010118043,0.0,0.0
yamato,1250,0,0,13,3508.0099999999998,0.0,,0.0
akpo,819,0,0,26,3505.98,0.0,,0.0
comfee,570,23,13,32,3492.34,0.04035087719298246,0.5652173913043478,0.02280701754385965
becker,152,0,0,4,3487.86,0.0,,0.0
admira,880,27,11,21,3451.86,0.03068181818181818,0.4074074074074074,0.0125
decoroom,3024,25,7,128,3424.73,0.008267195767195767,0.28,0.0023148148148148147
gerat,15376,0,0,89,3424.39,0.0,,0.0
mosconi,201,0,0,6,3397.8,0.0,,0.0
mebelswow-rn,1490,0,0,34,3391.7999999999997,0.0,,0.0
sparta,5136,0,0,139,3329.2,0.0,,0.0
coballe,2577,0,0,47,3324.09,0.0,,0.0
teosa,4083,0,0,71,3276.96,0.0,,0.0
suunto,1260,0,0,6,3262.42,0.0,,0.0
picard,3915,0,0,42,3241.98,0.0,,0.0
santeri,1456,6,4,55,3234.82,0.004120879120879121,0.6666666666666666,0.0027472527472527475
unit,4705,8,1,148,3225.68,0.0017003188097768332,0.125,0.00021253985122210415
byredo,393,0,0,14,3219.43,0.0,,0.0
fujida,1182,0,0,31,3212.54,0.0,,0.0
balta,4992,0,0,47,3193.73,0.0,,0.0
ombra,2202,0,0,13,3180.92,0.0,,0.0
titan,1697,0,0,31,3176.15,0.0,,0.0
alpina,2926,0,0,16,3170.75,0.0,,0.0
ava,2236,0,0,53,3161.71,0.0,,0.0
vardoven,105,0,0,5,3140.38,0.0,,0.0
protherm,115,0,0,5,3136.12,0.0,,0.0
am.pm,632,0,0,5,3132.58,0.0,,0.0
easywalker,594,0,0,7,3128.01,0.0,,0.0
rosa,1341,0,0,55,3101.25,0.0,,0.0
bellamebel,454,0,0,3,3087.66,0.0,,0.0
kumho,1872,0,0,44,3083.08,0.0,,0.0
gionee,1897,1,1,33,3063.69,0.0005271481286241434,1.0,0.0005271481286241434
broomer,3875,0,0,8,3057.99,0.0,,0.0
bafang,1306,0,0,2,3057.38,0.0,,0.0
forward,1651,0,0,43,3055.96,0.0,,0.0
focal,1803,0,0,23,3041.57,0.0,,0.0
adile,1478,0,0,45,3011.8500000000004,0.0,,0.0
kef,734,0,0,2,3006.2200000000003,0.0,,0.0
gipfel,5664,0,0,29,2970.15,0.0,,0.0
cartier,1878,0,0,7,2946.7200000000003,0.0,,0.0
dahon,443,3,2,7,2881.1299999999997,0.006772009029345372,0.6666666666666666,0.004514672686230248
moser,881,0,0,35,2870.19,0.0,,0.0
exide,1008,0,0,24,2837.27,0.0,,0.0
morel,1627,0,0,40,2831.57,0.0,,0.0
subini,1768,0,0,27,2809.64,0.0,,0.0
delsey,1745,11,3,31,2806.74,0.006303724928366762,0.2727272727272727,0.0017191977077363897
hasbro,6628,35,8,76,2791.84,0.00528062764031382,0.22857142857142856,0.0012070006035003018
maxler,2122,0,0,106,2783.25,0.0,,0.0
rastar,5880,127,33,95,2778.34,0.021598639455782314,0.25984251968503935,0.005612244897959183
eviza,907,0,0,21,2775.44,0.0,,0.0
optima,909,1,1,26,2752.0099999999998,0.0011001100110011,1.0,0.0011001100110011
next,836,0,0,37,2748.86,0.0,,0.0
kingtul,3129,0,0,45,2727.49,0.0,,0.0
ardahali,273,0,0,8,2724.66,0.0,,0.0
blackberry,2271,0,0,9,2721.5299999999997,0.0,,0.0
parkmaster,4128,0,0,41,2701.36,0.0,,0.0
silva,1208,0,0,8,2700.46,0.0,,0.0
oral-b,2547,86,30,87,2692.08,0.03376521397722811,0.3488372093023256,0.011778563015312132
intex,11919,4,0,39,2691.97,0.00033559862404564144,0.0,0.0
jinyu,72,0,0,11,2670.59,0.0,,0.0
barneo,1932,0,0,39,2665.05,0.0,,0.0
celine,106,0,0,3,2661.33,0.0,,0.0
cersanit,2503,0,0,31,2660.32,0.0,,0.0
sisley,121,0,0,18,2632.14,0.0,,0.0
babykiss,960,0,0,12,2625.6000000000004,0.0,,0.0
mima,1626,0,0,11,2612.66,0.0,,0.0
aoteli,1858,0,0,52,2571.85,0.0,,0.0
ariete,698,0,0,9,2566.53,0.0,,0.0
syma,3355,0,0,37,2564.88,0.0,,0.0
zanussi,1252,12,3,12,2553.17,0.009584664536741214,0.25,0.0023961661341853034
daisy,503,0,0,17,2550.76,0.0,,0.0
rosetta,646,0,0,23,2533.16,0.0,,0.0
technomax,1434,0,0,16,2532.96,0.0,,0.0
arua,4897,0,0,65,2531.19,0.0,,0.0
zelmer,1871,2,1,53,2523.87,0.0010689470871191875,0.5,0.0005344735435595938
mykronoz,2668,9,5,30,2518.92,0.003373313343328336,0.5555555555555556,0.0018740629685157421
ubisoft,2329,37,11,79,2507.07,0.0158866466294547,0.2972972972972973,0.0047230571060541005
mancera,582,2,1,20,2501.65,0.003436426116838488,0.5,0.001718213058419244
deestone,108,0,0,8,2499.4,0.0,,0.0
stark,1161,4,0,5,2499.25,0.0034453057708871662,0.0,0.0
smile,5466,3,2,60,2486.44,0.0005488474204171241,0.6666666666666666,0.00036589828027808267
grohe,2575,5,1,23,2465.86,0.001941747572815534,0.2,0.0003883495145631068
trek,944,0,0,4,2452.83,0.0,,0.0
bergner,4466,1,0,64,2440.65,0.0002239140170174653,0.0,0.0
mutlu,1083,0,0,24,2429.13,0.0,,0.0
sennheiser,1341,0,0,37,2427.5099999999998,0.0,,0.0
shiseido,1492,0,0,40,2410.68,0.0,,0.0
grape,1749,0,0,52,2409.38,0.0,,0.0
joyroad,2070,0,0,55,2393.88,0.0,,0.0
chloe,975,6,4,35,2389.23,0.006153846153846154,0.6666666666666666,0.0041025641025641026
trussardi,986,0,0,41,2382.58,0.0,,0.0
sunsuki,558,0,0,2,2368.14,0.0,,0.0
mjx,301,0,0,5,2367.65,0.0,,0.0
krk,219,0,0,4,2357.8599999999997,0.0,,0.0
olto,1924,12,5,54,2350.76,0.006237006237006237,0.4166666666666667,0.002598752598752599
inglesina,1325,0,0,5,2343.69,0.0,,0.0
renegade,270,0,0,2,2342.4,0.0,,0.0
konlega,837,0,0,13,2339.09,0.0,,0.0
carwel,532,0,0,11,2335.17,0.0,,0.0
metabo,4628,0,0,10,2327.26,0.0,,0.0
norfin,1675,0,0,12,2317.72,0.0,,0.0
pny,552,0,0,6,2315.1000000000004,0.0,,0.0
remax,3804,74,32,99,2311.43,0.019453207150368034,0.43243243243243246,0.008412197686645636
travelite,899,0,0,20,2306.35,0.0,,0.0
millionaire,2511,0,0,29,2298.8399999999997,0.0,,0.0
akvaton,2508,0,0,12,2294.29,0.0,,0.0
greenbike,1008,0,0,2,2292.41,0.0,,0.0
solite,557,0,0,27,2278.09,0.0,,0.0
telwin,163,0,0,2,2277.56,0.0,,0.0
condtrol,437,0,0,12,2267.31,0.0,,0.0
powcan,639,0,0,7,2265.19,0.0,,0.0
porsche,478,0,0,16,2265.12,0.0,,0.0
deeper,883,0,0,6,2263.1000000000004,0.0,,0.0
karat,5083,0,0,68,2257.48,0.0,,0.0
polar,1012,0,0,6,2256.42,0.0,,0.0
resanta,441,9,6,11,2245.87,0.02040816326530612,0.6666666666666666,0.013605442176870748
murager,1033,0,0,20,2239.4,0.0,,0.0
gezatone,2344,0,0,39,2215.4700000000003,0.0,,0.0
powerplant,2327,40,13,30,2205.64,0.017189514396218308,0.325,0.00558659217877095
silverlit,15295,0,0,40,2202.87,0.0,,0.0
ikea,8998,0,0,187,2187.9,0.0,,0.0
doohan,2035,0,0,2,2181.26,0.0,,0.0
kuppersberg,748,0,0,4,2180.86,0.0,,0.0
jockey,1045,25,7,23,2169.25,0.023923444976076555,0.28,0.0066985645933014355
beyerdynamic,423,0,0,13,2168.06,0.0,,0.0
burberry,675,0,0,32,2166.82,0.0,,0.0
agness,3629,0,0,70,2165.96,0.0,,0.0
mak,390,0,0,3,2149.44,0.0,,0.0
skyworth,490,1,0,3,2146.71,0.0020408163265306124,0.0,0.0
berkut,1523,0,0,9,2134.92,0.0,,0.0
dymatize,763,0,0,34,2134.1200000000003,0.0,,0.0
goform,878,0,0,31,2116.16,0.0,,0.0
elan,442,0,0,8,2100.94,0.0,,0.0
d-link,1984,45,19,78,2094.42,0.022681451612903226,0.4222222222222222,0.009576612903225807
qmax,1906,0,0,27,2094.12,0.0,,0.0
aria,315,0,0,14,2093.33,0.0,,0.0
veston,2291,0,0,52,2090.2599999999998,0.0,,0.0
jetair,414,2,2,12,2086.04,0.004830917874396135,1.0,0.004830917874396135
shell,4695,5,0,85,2075.71,0.0010649627263045794,0.0,0.0
dds,565,0,0,9,2073.15,0.0,,0.0
mobil,4334,0,0,67,2071.83,0.0,,0.0
hanma,461,0,0,6,2069.58,0.0,,0.0
sulu,2487,0,0,24,2059.2,0.0,,0.0
bene,6724,5,1,112,2057.89,0.00074360499702558,0.2,0.000148720999405116
prologic,3127,5,3,26,2057.59,0.0015989766549408379,0.6,0.0009593859929645027
continent,3195,28,11,98,2056.09,0.008763693270735524,0.39285714285714285,0.0034428794992175274
makeblock,430,1,1,6,2054.63,0.002325581395348837,1.0,0.002325581395348837
baltekstil,384,0,0,8,2048.19,0.0,,0.0
ibanez,221,0,0,7,2046.3899999999999,0.0,,0.0
minimotors,377,0,0,1,2033.51,0.0,,0.0
pikate,753,0,0,21,2027.13,0.0,,0.0
nexttab,2139,11,3,37,2024.3600000000001,0.005142589995324918,0.2727272727272727,0.001402524544179523
vinzer,3011,11,7,39,2022.6200000000001,0.0036532713384257723,0.6363636363636364,0.002324809033543673
e-blue,414,0,0,7,2011.3600000000001,0.0,,0.0
redragon,2287,24,12,89,2010.88,0.010494097070397902,0.5,0.005247048535198951
levenhuk,2349,0,0,24,2008.52,0.0,,0.0
advan,190,0,0,3,2007.78,0.0,,0.0
aquamarine,4226,0,0,123,2004.12,0.0,,0.0
mazzini,1591,0,0,46,1992.45,0.0,,0.0
leader,524,15,4,19,1980.25,0.02862595419847328,0.26666666666666666,0.007633587786259542
kainar,390,0,0,31,1965.77,0.0,,0.0
autoprofi,2687,0,0,44,1961.9499999999998,0.0,,0.0
axper,4304,0,0,43,1952.1299999999999,0.0,,0.0
yato,2805,0,0,24,1951.95,0.0,,0.0
milavitsa,15611,0,0,92,1947.97,0.0,,0.0
jack,360,0,0,3,1947.3,0.0,,0.0
rockdale,392,0,0,18,1945.98,0.0,,0.0
bardahl,2985,0,0,74,1942.97,0.0,,0.0
ninebot,1004,9,0,4,1940.83,0.008964143426294821,0.0,0.0
gkhair,1736,0,0,53,1935.44,0.0,,0.0
buggy,582,0,0,6,1930.56,0.0,,0.0
fisher-price,1848,22,10,42,1929.3799999999999,0.011904761904761904,0.45454545454545453,0.005411255411255411
adriatica,1255,0,0,9,1928.48,0.0,,0.0
teka,768,0,0,6,1927.76,0.0,,0.0
firman,918,0,0,9,1919.3400000000001,0.0,,0.0
sunday,586,0,0,7,1912.51,0.0,,0.0
iiyama,457,0,0,8,1909.7,0.0,,0.0
awei,2905,59,24,112,1908.56,0.020309810671256454,0.4067796610169492,0.008261617900172116
boto,206,0,0,9,1896.35,0.0,,0.0
delmax,2563,16,6,42,1894.3700000000001,0.006242684354272337,0.375,0.0023410066328521262
masteryard,233,0,0,3,1891.9499999999998,0.0,,0.0
yoya,1117,4,2,24,1888.78,0.0035810205908683975,0.5,0.0017905102954341987
harley-davidson,4306,0,0,15,1888.09,0.0,,0.0
deluxe,4390,30,14,78,1887.5,0.00683371298405467,0.4666666666666667,0.0031890660592255125
dk,923,2,1,7,1882.4099999999999,0.0021668472372697724,0.5,0.0010834236186348862
nzxt,365,0,0,11,1877.85,0.0,,0.0
mebelson,3827,0,0,12,1877.75,0.0,,0.0
x-race,501,0,0,7,1875.98,0.0,,0.0
viessmann,152,0,0,2,1868.1799999999998,0.0,,0.0
marshal,2794,0,0,31,1863.5500000000002,0.0,,0.0
matrol,506,0,0,16,1858.54,0.0,,0.0
battipav,367,0,0,8,1848.16,0.0,,0.0
basharan,402,0,0,4,1845.48,0.0,,0.0
sinotex,624,0,0,20,1841.8000000000002,0.0,,0.0
kronasteel,456,0,0,10,1839.8999999999999,0.0,,0.0
jabra,1328,36,13,45,1834.16,0.02710843373493976,0.3611111111111111,0.009789156626506024
afnan,755,0,0,29,1824.22,0.0,,0.0
alvitek,1895,0,0,51,1823.58,0.0,,0.0
viking,1015,0,0,4,1816.26,0.0,,0.0
appollo,1416,0,0,10,1814.4299999999998,0.0,,0.0
mibb,490,0,0,6,1804.8,0.0,,0.0
hartan,210,0,0,1,1801.82,0.0,,0.0
dreammachines,51,3,1,1,1801.82,0.058823529411764705,0.3333333333333333,0.0196078431372549
mystar,570,0,0,2,1801.8,0.0,,0.0
chigo,222,0,0,6,1798.1999999999998,0.0,,0.0
grow-with-me,1231,0,0,50,1788.99,0.0,,0.0
merries,1315,3,0,107,1785.88,0.0022813688212927757,0.0,0.0
merach,51,0,0,3,1776.12,0.0,,0.0
garvalin,3485,0,0,27,1770.42,0.0,,0.0
